     159.9     -1.86
     190.8     -0.33
     227.0      0.03
     268.8      0.62
     316.7     -0.24
     370.8     -3.63
     430.7     -3.00
     495.7      2.07
     564.5      4.11
     635.0      2.03
     705.2      1.11
     772.8      1.91
     836.1      1.42
     893.8     -4.13
     945.5     -8.92
     991.2     -9.30
    1010.0     -9.30 (extrapolated)
source:  yanai (personal communication, march 1984)
 units:  10**(-11) sec**(-2)
project
physical
spectral
end
function            marshall islands  q2  (mean)
      50.0      0.00 (assumed)
      75.0      0.00 (assumed)
     100.0      0.00 (assumed)
     125.0      0.00
     150.0      0.04
     175.0      0.15
     200.0      0.32
     225.0      0.57
     250.0      0.92
     275.0      1.35
     300.0      1.75
     350.0      2.49
     400.0      3.10
     450.0      3.85
     500.0      4.53
     550.0      4.53
     600.0      4.31
     650.0      4.48
     700.0      5.04
     750.0      5.38
     800.0      4.98
     850.0      4.03
     900.0      2.84
     950.0      1.44
    1000.0      0.24 (linear interpolation)
    1010.0      0.00 (assumed)
source:  yanai, chu and stark, 1976, jas, 33, 976-991
 units:  kj/kg/day -- same as  deg/day
integrate
physical
physical           2
spectral
function            gate  q2  (phase three mean)
      50.0      0.00 (assumed)
      92.6      0.00
     111.3      0.00
     133.6      0.00
     159.9      0.00
     190.8      0.03
     227.0      0.15
     268.8      0.50
     316.7      0.97
     370.8      1.31
     430.7      1.86
     495.7      2.79
     564.5      3.21
     635.0      3.14
     705.2      3.72
     772.8      4.65
     836.1      5.57
     893.8      5.77
     945.5      4.31
     991.2      1.38
    1010.0      0.00 (assumed)
source:  yanai (personal communication, march 1984)
 units:  kj/kg/day -- same as  deg/day
integrate
physical
physical           2
spectral
function            gate  q2  (phase three disturbed)
      50.0      0.00 (assumed)
      92.6      0.00
     111.3      0.00
     133.6      0.00
     159.9      0.01
     190.8      0.06
     227.0      0.29
     268.8      0.91
     316.7      1.66
     370.8      2.02
     430.7      2.77
     495.7      4.00
     564.5      4.65
     635.0      4.85
     705.2      5.74
     772.8      6.92
     836.1      7.92
     893.8      7.80
     945.5      5.85
     991.2      2.11
    1010.0      0.00 (assumed)
source:  yanai (personal communication, march 1984)
